artist_s__name,musicas_por_artista
bing crosby john scott trotter his orchestra ken darby singers,1
burl ives,1
bobby helms,1
nat king cole,2
andy williams,1
the ronettes,1
creedence clearwater revival,1
john lennon the harlem community choir the plastic ono band yoko ono,1
aerosmith,1
vance joy,1
paul mccartney,1
the police,1
wham ,1
shakin stevens,1
band aid,1
chris rea,1
metallica,1
nirvana,2
mariah carey,1
dr dre 2pac roger,1
the goo goo dolls,1
chris molitor,1
coldplay,3
britney spears,1
keane,1
taylor swift,34
plan b,1
bruno mars,4
adele,4
lana del rey,3
lady gaga,2
justin bieber,3
michael bubl ,2
the neighbourhood,3
arctic monkeys,4
john legend,1
yung lean,1
ed sheeran,9
avicii,2
mr kitty,1
one direction,1
the walters,1
beach house,1
willow,1
lord huron,1
seafret,1
vundabar,1
panic at the disco,1
sales,1
the chainsmokers halsey,1
childish gambino,1
sia,2
the chainsmokers coldplay,1
cigarettes after sex,1
ruth b ,1
jaymes young,1
billie eilish khalid,1
suki waterhouse,1
dua lipa elton john pnau,1
the weeknd gesaffelstein,2
alec benjamin,1
joji,3
lady gaga bradley cooper,1
lewis capaldi,3
girl in red,1
duncan laurence,1
new west,1
shawn mendes camila cabello,1
post malone,3
labrinth,7
james arthur,2
kevin kaarl,1
harry styles,17
the weeknd,21
bad bunny,19
the anxiety willow tyler cole,1
conan gray,1
ariana grande the weeknd,2
jung kook,2
24kgoldn iann dior,1
miley cyrus,2
rosa walton hallie coggins,1
bruno mars anderson paak silk sonic,2
m ne,4
sza doja cat,1
peso pluma,2
farruko,1
bts,8
billie eilish,5
stephen sanchez,1
troye sivan,2
coldplay bts,1
neiked mae muller polo g,1
sebastian yatra,2
ti sto ava,1
stephanie beatriz diane guerrero,1
shawn mendes,3
v,1
katy perry alesso,1
lit killah maria becerra tiago pzk nicki nicole,1
david kushner,2
the weeknd tyler the creator,1
mnek jax jones,1
mahmood blanco,1
lasso,1
r ,1
ed sheeran taylor swift,1
christian nodal,1
camila cabello ed sheeran,1
paulo londra,2
daddy yankee,2
yahritza y su esencia,1
r ma selena g,1
bigbang,1
omar apollo,1
lizzy mcalpine,1
zach bryan,1
em beihold stephen sanchez,1
ha sung woon jimin,1
grupo frontera,1
bad bunny the mar ,1
bomba est reo bad b,1
bad bunny jhay cortez,2
morgan wallen,11
keisya levronka,1
kendrick lamar,12
victor cibrian,1
kaifi khalil,1
david guetta shakira black eyed peas,1
charlie puth bts jung kook,1
bizarrap quevedo,1
sofia carson,1
jvke,2
sabrina carpenter,1
d4vd,2
pritam arijit singh amitabh bhattacharya,1
ovy on the drums quevedo,1
raim laode,1
blackpink,3
king,1
lil uzi vert,1
yuridia angela aguilar,1
taylor swift lana del rey,1
kenia os,1
jin,1
rihanna,1
selena gomez,1
mabel matiz mert demir,1
ludwig goransson foudeqush,1
arijit singh sachin jigar,1
pinkpantheress,1
anggi marito,1
sza,19
leo santana,1
mar lia mendo,1
vishal shekhar shilpa rao caralisa monteiro kumaar vishal dadlani shekhar ravjiani,1
newjeans,6
the kid laroi,2
sped up nightcore arizonatears lil uzi vert,1
mae stephens,1
niall horan,1
fifty fifty,2
morgan wallen eric church,1
eslabon armado peso pluma,1
luke combs,1
jimin,3
nf,1
becky g peso pluma,1
jisoo,1
david guetta anne marie coi leray,1
yahritza y su esencia grupo frontera,1
the weeknd future,1
quevedo jhayco,1
junior h eden mu ,1
kendrick lamar beyonc ,1
lana del rey taylor swift,1
lil durk morgan wallen,1
a ap rocky metro boomin roisee,1
jasiel nu ez peso p,2
quevedo,4
latto jung kook,1
frank sinatra b swanson quartet,1
frank sinatra,1
brenda lee,1
perry como the fontane sisters mitchell ayres his orchestra,1
dean martin,1
darlene love,1
jos felic,1
queen,1
musical youth,1
southstar,1
a ha,1
guns n roses,1
radiohead,1
coolio l v ,1
sped up 8282,1
linkin park,2
gwen stefani blake shelton,1
gotye kimbra,1
rihanna calvin harris,1
imagine dragons,3
maroon 5 wiz khalifa,1
tom odell,1
onerepublic,2
pharrell williams nile rodgers daft punk,1
kanye west,3
hozier,1
kelly clarkson,1
sam smith,1
tv girl,1
demi lovato,1
surf curse,1
drake wizkid kyla,1
pnb rock,1
beach weather,1
steve lacy,3
chase atlantic,1
ed sheeran elton john,1
xxxtentacion,2
post malone swae lee,1
ckay,1
ghost,1
maroon 5,1
chris brown,1
elley duh ,1
giveon,1
daddy yankee bad bunny,2
tate mcrae,2
fujii kaze,1
rauw alejandro,2
marshmello jonas brothers,1
prezioso gabry ponte lum x,1
juan cruz toledo huilen toledo,1
olivia rodrigo,7
justin bieber the kid laroi,1
niki,1
charli xcx jax jones joel corry saweetie,1
gayle,1
jason derulo,1
chris brown rvssian rauw alejandro,1
trueno tiago pzk,1
the weeknd swedish house mafia,1
the weeknd post malone,1
the weeknd rosal ,1
nicky youre dazy,1
tory lanez,1
juice wrld,2
lauren spencer smith lauren spencer smith lauren spencer smith,1
enhypen,3
sim,1
z fe,1
matu wiu ,1
shae gill ali sethi,1
nicki minaj lil baby,2
treasure,1
eden mu ,1
sam ryder,1
tyga doja cat,1
tulus,1
kalush,1
james hype miggy dela rosa,1
david guetta ella henderson becky hill,1
leah kate,1
ive,4
karol g,4
benson boone,1
manuel turizo,1
calvin harris dua lipa young thug,1
ozuna tiago pzk,1
halsey,1
pharrell williams tyler the creator 21 savage,1
marshmello khalid,1
interplanetary criminal eliza rose,1
drake,4
lil yachty,1
nayeon,1
j hope,1
calvin harris halsey pharrell williams justin timberlake,1
brray rauw alejandro lyanno,1
treyce,1
robin schulz oliver tree,1
peso pluma luis r conriquez,1
bebe rexha david guetta,1
gustavo mioto mari fernandez,1
lil nas x,3
wisin yandel rosal ,1
styrx utku inc thezth,1
marshmello juice wrld,1
ozuna shakira,1
feid sech jhayco,1
israel rodolffo ana castela,1
burna boy,2
drake 21 savage,8
bts jung kook fifa sound,1
travis scott metro boomin,1
the weeknd 21 savage metro boomin,1
future metro boomin don toliver,1
carin leon grupo frontera,1
sza phoebe bridgers,1
myke towers quevedo,1
duki nicki nicole cris mj standly stars music chile,1
fuerza regida grupo frontera,1
el chachito junior h,1
shakira bizarrap,1
taeyang jimin,1
mahalini,1
natanael cano peso pluma,1
chino pacas,1
pinkpantheress ice spice,1
grupo marca registrada grupo frontera,1
z neto crist,1
don toliver future justin bieber,1
kali uchis,1
israel rodolffo mari fernandez,1
marshmello manuel turizo,1
calvin harris ellie goulding,1
bad bunny eladio carrion,1
myke towers,1
melanie martinez,1
blessd peso pluma,1
jack black,1
bad bunny grupo frontera,1
rich the kid matu ,1
nile rodgers le sserafim,1
dennis mc kevin o chris,1
rm colde,1
mambo kingz dj luian anuel aa,2
 g i dle,2
arijit singh sachin jigar amitabha bhattacharya,1
shubh,1
sachin jigar shadab faridi altamash faridi amitabh bhattacharya varun jain,1
dua lipa,3
bizarrap peso pluma,1
big one duki lit killah maria becerra fmk rusherking emilia tiago pzk,1
metro boomin coi leray,1
feid myke towers sky rompiendo,1
peggy gou,1
rauw alejandro bizarrap,2
junior h peso pluma,2
gabito ballesteros junior h peso pluma,1
peso pluma grupo frontera,1
tainy bad bunny,1
natanael cano,1
sog ryan castro peso pluma,1
chuck berry,1
tears for fears,1
kate bush,1
ed sheeran j balvin,1
eminem dr dre,2
eminem,4
eminem dina rae,1
the killers,1
miguel,1
ray dalton ryan lewis macklemore,1
kendrick lamar jay rock,1
ayparia unxbected,1
paloma faith,1
jain,1
the rare occasions,1
frank ocean,2
baby tate,1
the weeknd lana del rey,1
calvin harris dua lipa,1
tyler the creator kali uchis,1
masked wolf,1
halsey bts,1
tones and i,1
mac demarco,1
labrinth zendaya,1
ckay ax el dj yo ,1
doja cat,6
hotel ugly,2
dua lipa dababy,1
glass animals,1
oliver tree,1
intense ap dhillon gurinder gill,1
aitana zzoilo,1
j balvin maria becerra,1
tini maria becerra,1
doja cat the weeknd,1
chencho corleone rauw alejandro,1
sech bad bunny mora,1
jack harlow lil nas x,1
lost frequencies calum scott,1
ti sto kar,1
arcangel de la ghetto justin quiles lenny tav rez sech dalex dimelo flow rich music,1
cherish acraze,1
anuel aa jhay cortez,1
yeat,2
kali uchis amaarae moliy,1
twice,2
julieta venegas bad bunny tainy,1
mar lia mendon a maiara ,1
alvaro diaz rauw alejandro,1
justin quiles lenny tav rez bl,1
anitta,1
tini l gante,1
trueno,1
anuel aa myke towers jhay cortez,1
adassa mauro castillo stephanie beatriz encanto cast rhenzy feliz diane guerrero carolina gaitan,1
interworld,1
ed sheeran fireboy dml,1
chanel,1
21 savage gunna,1
stromae,1
mar lia mendon a hugo g,1
mainstreet chefin,1
skrillex flowdan fred again ,1
cris mj,1
kordhell,1
em beihold,1
mc pedrinho pedro sampaio,1
karol g becky g,1
dove cameron,1
jack harlow,3
rex orange county,1
blackbear boywithuke,1
feid alejo robi,1
rosa linn,1
sch rze dj r,1
teto,1
feid mora,1
camila cabello willow,1
charlie puth,2
carin leon,1
luciano,1
bizarrap paulo londra,1
justin bieber don toliver,1
psy suga,1
lf system,1
bad bunny rauw alejandro,1
chencho corleone bad bunny,1
kendrick lamar kodak black,1
melody ana castela dj chris no beat,1
post malone doja cat,1
feid,8
bizarrap villano antillano,1
oxlade,1
yung gravy,1
de la ghetto feid polima westcoast paloma mami pailita,1
beyonc ,3
anitta tini becky g,1
lizzo,2
rosal ,2
dean lewis,1
drake dj khaled lil baby,1
fran c polima westcoast nickoog clk pablito pesadilla,1
yandel feid,2
sam smith kim petras,1
baby rasta rauw alejandro,1
twisted oliver tree,1
abhijay sharma riar saab,1
bellakath,1
raye 070 shake,2
kenshi yonezu,1
le sserafim,2
meghan trainor,1
thxsomch,1
ti sto tate m,1
feid paulo londra,1
natanael cano gabito ballesteros peso pluma,1
rm,1
john legend metro boomin,1
libianca,1
sza don toliver,1
arijit singh vishal dadlani sukriti kakar vishal shekhar shekhar ravjiani kumaar,1
fuerza regida peso pluma,1
steve aoki tini la joaqui,1
oscar maydon junior h,1
tomorrow x together,1
p nk,1
sam smith calvin harris jessie reyez,1
simone mendes,1
gorillaz bad bunny,1
loreen,1
fuerza regida chino pacas,1
doechii,1
kanii pr1isvx,1
big one fmk ke personajes,1
iu agust d,1
yoasobi,1
seventeen,1
taeyang lisa,1
sebastian yatra manuel turizo be ,1
gunna,1
veigh bvga beatz supernova ent prod malax,1
fuerza regida,2
taylor swift ice spice,1
wizkid toian metro boomin don toliver beam,1
swae lee lil wayne offset metro boomin,1
swae lee a boogie wit da hoodie metro boomin nav,1
halsey suga,1
feid mora saiko quevedo,1
maria becerra,1
mc livinho dj matt d,1
dr dre snoop dogg,2
eminem dido,1
50 cent,1
eminem nate dogg,1
zion lennox,1
don omar lucenzo,1
kevin gates juicy j,1
ariana grande,2
j cole,1
the weeknd daft punk,1
sean paul dua lipa,1
elton john britney spears,1
tyler the creator,3
bad bunny tainy,1
annenmaykantereit giant rooks,1
j balvin bad bunny,1
ti ,1
godzz__ zakaria,1
c tangana,1
luar la l,1
playboi carti,1
riton nightcrawlers mufasa hypeman dopamine,1
justin bieber daniel caesar giveon,1
polo g,1
sleepy hallow,1
ryan castro,2
sidhu moose wala,1
j balvin nio garcia bad bunny,1
maluma,1
aventura bad bunny,1
lauren spencer smith,1
kendrick lamar baby keem,1
drake project pat 21 savage,1
imagine dragons league of legends jid arcane,1
drake future young thug,1
drake travis scott,1
boywithuke,1
lisa,1
mar lia mendon a george henrique ,1
imagine dragons league of legends arcane,1
kodak black,1
jnr choi,1
emmy meli,1
luude colin hay,1
muni long,1
jessica darrow,1
olga merediz stephanie beatriz encanto cast,1
xam gustah neo b,1
yng lvcas,1
bizarrap tiago pzk,1
gunna lil baby,1
young thug future gunna,1
the weeknd lil wayne,1
quevedo la pantera juseph cruz cafun b jo abhir hathi,1
armani white,1
kanye west alicia keys fivio foreign,1
future,2
polima westcoast pailita,1
danny ocean,1
luis r conriquez la adictiva,1
byor imanbek,1
nmixx,1
jordan fisher josh levi finneas o connell 4 town from disney and pixar s turning red topher ngo grayson vill,1
residente bizarrap,1
dave,1
dua lipa megan thee stallion,1
lu sa sonza mc frog dj gabriel do borel davi k,1
stray kids,2
ak4 20 cris mj pailita,1
de la ghetto duki quevedo,1
lil tjay,1
sech mora,1
lil baby,2
jessi,1
shakira rauw alejandro,1
nle choppa,1
drake future tems,1
tony dize bad bunny,1
ugly dray tesla jnr,1
buscabulla bad bunny,1
post malone roddy ricch,1
kendrick lamar sam dew baby keem,1
kendrick lamar taylour paige,1
kendrick lamar beth gibbons,1
kendrick lamar tanna leone,1
kendrick lamar ghostface killah summer walker,1
kendrick lamar blxst amanda reifer,1
kendrick lamar sampha,1
nengo flow anuel aa chris jedi chencho corleone,1
sleepy hallow 347aidan,1
kanye west xxxtentacion,1
duki,2
l7nnon dj biel do furduncinho bianca,1
mc vitin da igrejinha mc tairon dj win,1
nessa barrett,1
mc ryan sp love funk mc paiva zs,1
kanye west lil durk cardi b,1
central cee,2
grupo marca registrada junior h,1
rels b,1
snoop dogg bts benny blanco,1
freddie dredd,1
nicki minaj,2
maldy karol g,1
dj escobar mc menor sg mc menor hr,1
luciano aitch b ,1
dj lk da esc cia tchakabum mc jhenny m,1
ozuna feid,1
drake travis scott 21 savage,1
karol g ovy on the drums,1
coi leray,1
arcangel bad bunny,1
fuerza regida natanael cano,1
future chris brown metro boomin,1
travis scott young thug metro boomin,1
travis scott 21 savage metro boomin,1
sza travis scott,1
migrantes lil cake nico valdi,1
nengo flow bad bunny,1
mc xenon os gemeos da putaria,1
karol g romeo santos,1
ana castela agroplay,1
taiu milo j,1
tini,1
karol g quevedo,1
karol g shakira,1
j hope j cole,1
cartel de santa la kelly,1
peso pluma yng lvcas,1
kaliii kaliii,1
arcangel bizarrap,1
rauw alejandro rosal ,1
feid young miko,1
nicki minaj ice spice,1
sean paul feid,1
agust d,1
kodak black nle choppa muni long jvke jimin,1
mc caverinha kayblack,1
shakira,1
j cole lil durk,1
nicky jam feid,1
dave central cee,1
mc pedrinho dj 900,1
semicenk do u ,1
the weeknd madonna playboi carti,1
james blake metro boomin,1
offset jid,1
future lil uzi vert metro boomin,1
nicki minaj aqua ice spice,1